enddate,samplesize,results,favorability_r,favorability_d
10/27/2016,973.0,1,-8.305239999999998,-4.71058
10/2/2016,609.0,1,-7.556460000000001,-4.83972
10/2/2016,609.0,1,-7.556460000000001,-5.006079999999997
10/2/2016,609.0,1,-7.556460000000001,-4.71105
8/28/2016,689.0,1,-8.45758,-2.806010000000001
8/28/2016,689.0,1,-8.45758,-3.07011
8/28/2016,689.0,1,-8.45758,-2.98142
9/22/2016,651.0,1,-5.048679999999997,-3.711300000000002
9/22/2016,651.0,1,-5.048679999999997,-3.85763
9/22/2016,651.0,1,-5.048679999999997,-3.9180300000000017
10/22/2016,1153.0,1,-12.685339999999997,-6.39676
10/22/2016,1153.0,1,-12.685339999999997,-6.560279999999999
10/22/2016,1153.0,1,-12.685339999999997,-6.420560000000002
9/13/2016,916.0,1,-5.445340000000002,-5.771520000000002
9/13/2016,916.0,1,-5.445340000000002,-5.79307
9/13/2016,916.0,1,-5.445340000000002,-5.70055
9/12/2016,854.0,1,-10.56333,-3.2730999999999995
9/12/2016,854.0,1,-10.56333,-3.384129999999999
9/12/2016,854.0,1,-10.56333,-3.3062600000000018
10/26/2016,945.0,1,-7.483020000000003,-6.037869999999998
10/26/2016,945.0,1,-7.483020000000003,-6.10821
10/26/2016,945.0,1,-7.483020000000003,-5.950180000000003
10/21/2016,1177.0,1,-10.671860000000002,-6.666789999999999
10/21/2016,1177.0,1,-10.671860000000002,-6.836559999999999
10/21/2016,1177.0,1,-10.671860000000002,-6.69079
10/30/2016,2599.0,1,-7.191960000000002,-7.8157
10/30/2016,2599.0,1,-7.191960000000002,-7.793590000000002
10/30/2016,2599.0,1,-7.191960000000002,-7.810639999999999
10/27/2016,1500.0,1,-4.036169999999999,-4.667580000000001
10/27/2016,1500.0,1,-4.036169999999999,-4.675460000000001
10/27/2016,1500.0,1,-4.036169999999999,-4.65831
10/25/2016,921.0,1,-7.489780000000003,-6.848930000000003
10/25/2016,921.0,1,-7.489780000000003,-6.930129999999998
10/25/2016,921.0,1,-7.489780000000003,-6.761180000000003
10/20/2016,1183.0,1,-11.064950000000003,-4.926110000000001
10/20/2016,1183.0,1,-11.064950000000003,-5.0996900000000025
10/20/2016,1183.0,1,-11.064950000000003,-4.95026
10/14/2016,2433.0,1,-8.709180000000003,-6.940300000000001
10/14/2016,2433.0,1,-8.709180000000003,-7.16621
10/14/2016,2433.0,1,-8.709180000000003,-6.966889999999999
10/19/2016,1200.0,1,-10.059739999999998,-6.885390000000001
10/19/2016,1200.0,1,-10.059739999999998,-7.064450000000001
10/19/2016,1200.0,1,-10.059739999999998,-6.91001
10/30/2016,1500.0,1,-7.550710000000002,-4.567540000000001
10/30/2016,1500.0,1,-7.550710000000002,-4.53481
