Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
1126434,27-May-18,Colorado,Aurora,15373 E 6th Ave,1,3,0,0,0,N/A
1124777,25-May-18,Ohio,Cincinnati,1000 block of Ross Avenue,0,4,0,0,1,N/A
1122728,20-May-18,Indiana,Anderson,1604 Madison Ave,0,4,0,0,0,N/A
1121111,20-May-18,Mississippi,Hazlehurst,513 Monticello St,1,7,0,0,2,N/A
1118785,18-May-18,Texas,Santa Fe,16000 Hwy 6,10,13,0,0,1,N/A
1116705,16-May-18,Texas,Ponder,610 Lone Star Park Ln,4,1,1,0,0,N/A
1115110,14-May-18,Maryland,Baltimore,2020 Etting St,0,4,0,0,0,N/A
1114725,13-May-18,California,Los Angeles,365 W Manchester Avenue,2,2,0,0,1,N/A
1115051,13-May-18,California,Stockton,2436 Belleview St,3,2,0,0,0,N/A
1114402,13-May-18,Mississippi,Byhalia,French Rd and Berta Rd,0,4,0,0,1,N/A
1114276,12-May-18,Nebraska,Omaha,3201 Decatur St,0,6,0,0,0,N/A
1113538,12-May-18,New Jersey,Paulsboro,275 W Buck St,0,4,0,0,0,N/A
1113737,11-May-18,Missouri,Saint Louis,4800 block of Farlin Ave,0,4,0,0,0,N/A
1112948,11-May-18,Oklahoma,Talihina,2nd St and Dallas St,0,4,1,0,0,N/A
1111950,9-May-18,Missouri,Saint Louis,5200 block of Minerva Avenue,0,4,0,0,0,N/A
1111649,9-May-18,Nebraska,Omaha,Sahler St and N 48th St,0,4,0,0,0,N/A
1110399,7-May-18,California,San Diego,15th St and J St,0,5,0,0,0,N/A
1108856,6-May-18,Oklahoma,Stillwater,2020 East Lakeview Road,0,4,0,0,0,N/A
1109322,6-May-18,Tennessee,Memphis,499 N Watkins St,2,4,0,0,1,N/A
1108879,5-May-18,Georgia,Columbus,4944 Sentry Street,0,5,0,0,1,N/A
1110773,4-May-18,North Carolina,Henderson,519 Hilliard St,0,4,0,0,0,N/A
1109928,4-May-18,Illinois,Chicago Heights,200 block of E 23rd St,0,4,0,0,0,N/A
1106451,2-May-18,Illinois,Chicago,3500 block of W Grenshaw St,1,4,0,0,2,N/A
1106432,2-May-18,New York,Brooklyn,333 Bristol St,1,4,0,0,0,N/A
1106557,2-May-18,Minnesota,Minneapolis,2400 block of Ogema Place,0,4,0,1,2,N/A
1105061,1-May-18,Louisiana,New Orleans,3200 block of Saint Claude Ave,0,5,0,0,0,N/A
1103454,30-Apr-18,Florida,Pompano Beach,4251 N Dixie Hwy,0,4,0,0,0,N/A
1103465,30-Apr-18,District of Columbia,Washington,3600 block of New York Ave NE,0,4,0,0,0,N/A
1103423,29-Apr-18,Tennessee,Wartburg,519 South Kingston St,0,4,0,0,1,N/A
1102808,29-Apr-18,Washington,Seattle (Skyway),12603 Renton Ave S,2,2,0,0,0,N/A
1103045,29-Apr-18,North Carolina,Monroe,1500 block of Massey St,1,3,0,0,1,N/A
1102900,29-Apr-18,Florida,West Palm Beach,1969 S Military Trail,1,3,0,0,1,N/A
1102559,28-Apr-18,North Carolina,Maxton,Modest Rd,0,5,0,0,0,N/A
1100691,25-Apr-18,Arkansas,Pine Bluff,300 block of West 24th Street,0,4,0,0,0,N/A
1100852,25-Apr-18,Missouri,Saint Louis,1151 Northdale Dr,3,1,0,0,1,N/A
1099516,24-Apr-18,Michigan,Flint,2200 block of Ave A,0,4,0,0,0,N/A
1096826,22-Apr-18,Tennessee,Antioch,3571 Murfreesboro Pike,4,3,0,0,1,N/A
1097700,22-Apr-18,Louisiana,New Orleans,1900 block of St Roch Ave,2,4,0,0,1,N/A
1096232,21-Apr-18,Pennsylvania,Philadelphia,1800 block of W Diamond St,2,2,0,0,1,N/A
1096388,20-Apr-18,California,San Francisco,3rd Street and Quesada Ave,1,5,0,0,0,N/A
1095043,18-Apr-18,North Carolina,Asheville,73 Hansel Ave,3,3,1,0,0,N/A
1092279,15-Apr-18,Louisiana,Shreveport,6956 Jewella Ave,0,6,0,0,0,N/A
1088778,9-Apr-18,California,Vallejo,201 Maine St,0,4,0,0,0,N/A
1087153,8-Apr-18,North Carolina,Hickory,247 1st Ave NW,1,3,0,0,3,N/A
1087021,8-Apr-18,Florida,Miami,1300 block of NW 63rd Terrace,2,2,0,0,0,N/A
1086773,6-Apr-18,Florida,Jacksonville,6100 block of Transylvania Ave,0,4,0,0,0,N/A
1086966,6-Apr-18,Virginia,Virginia Beach,5800 block of Pickering St,1,3,0,0,0,N/A
1084847,4-Apr-18,Louisiana,New Orleans,3300 Garden Oaks Drive,2,2,0,0,0,N/A
1083552,2-Apr-18,Texas,Houston,8500 block of Redcliff Rd,1,3,0,0,0,N/A
